top_state_name,year,most_transaction_amount
karnataka,2024,214610300000000.0
maharashtra,2024,206981390000000.0
telangana,2024,197059530000000.0
andhra pradesh,2024,180226270000000.0
karnataka,2023,160651170000000.0
