Region_name,Year,Total_Transaction_amount
dibang valley district,2018,2888.1056114058792
pherzawl district,2018,13227.523700238931
kamle district,2018,135512.6184117301
pakke kessang district,2018,155233.87149753238
muzaffarabad district,2018,247516.65790457712
kurung kumey district,2018,1690081.8646155465
upper siang district,2018,3172381.3879761538
shi yomi district,2019,3620823.71769624
kamjong district,2018,4013831.5860123583
dibang valley district,2019,5127053.568787549
